customer_id,full_name,country_of_residence,occupation,product_type,is_pep,risk_score,risk_rating,match_score,activity_ratio
100001,Dmitri Okafor,Nigeria,Nurse,International Wire Transfers,0,60,High,0.77,1.0
100002,Priya Chen,Canada,Nurse,Crypto Wallet,0,20,Low,0.37,3.06
100003,Hassan Fitzgerald,United Kingdom,Software Engineer,Private Banking,0,30,Medium,0.53,1.0
100004,Zara Johnson,Australia,Accountant,Current Account,0,10,Low,0.33,1.0
100005,Mary Muller,Ireland,Jeweller,Current Account,0,20,Low,0.42,1.0
100006,Chloe Dubois,United Kingdom,Software Engineer,Current Account,0,0,Low,0.33,1.0
100007,Ravi Johnson,China,Software Engineer,Credit Card,0,35,Medium,0.4,1.2
100008,Elena Haddad,Germany,Teacher,Savings Account,0,0,Low,0.75,1.0
100009,James Andersson,North Korea,Retail Trader,Crypto Wallet,0,70,High,0.38,1.2
100010,Kwame Lindqvist,France,Real Estate Agent,Savings Account,0,35,Medium,0.42,3.14
100011,Carlos Okafor,Russia,Software Engineer,Personal Loan,0,60,High,0.38,2.86
100012,Wei Ivanov,Sweden,Cash-Intensive Business,Personal Loan,0,45,Medium,0.78,4.62
100013,Ivan Petrov,Russia,Software Engineer,Personal Loan,1,85,High,1.0,1.0
100014,Sergei Khan,Germany,Real Estate Agent,Savings Account,0,20,Low,0.75,1.2
100015,Oluwaseun Haddad,Nigeria,Civil Servant,Savings Account,0,25,Medium,0.67,1.0
100016,Lucas Sokolov,United Kingdom,Nurse,Private Banking,0,30,Medium,0.69,1.0
100017,Ingrid Sokolov,United States,Civil Servant,Savings Account,0,10,Low,0.79,0.9
100018,James Ivanov,Kenya,Software Engineer,Crypto Wallet,0,35,Medium,0.64,1.0
100019,Mary Nguyen,India,Software Engineer,Current Account,0,15,Low,0.5,0.9
100020,Mary Volkov,China,Car Dealer,Fixed Deposit,0,25,Medium,0.75,1.0
100021,Emma Okafor,Nigeria,Teacher,Savings Account,0,30,Medium,0.5,4.67
100022,James Dubois,France,Civil Servant,Personal Loan,0,10,Low,0.33,1.0
100023,Hassan Rossi,Nigeria,Car Dealer,Credit Card,0,45,Medium,0.48,1.0
100024,Mohammed Khan,Australia,Nurse,Savings Account,0,0,Low,0.65,7.45
100025,Oluwaseun Volkov,Nigeria,Jeweller,Savings Account,0,35,Medium,0.62,1.0
100026,Hassan Bello,India,Nurse,Private Banking,0,45,Medium,0.48,1.2
100027,Mohammed Osei,United States,Software Engineer,Savings Account,0,25,Medium,0.71,1.0
100028,Wei Silva,China,Real Estate Agent,Savings Account,0,35,Medium,0.55,1.0
100029,Adebayo Johnson,Australia,Jeweller,Current Account,0,20,Low,0.37,0.9
100030,Grace Silva,Nigeria,Retail Trader,Credit Card,0,60,High,0.5,7.71
100031,Mary Brown,Turkey,Civil Servant,Current Account,0,25,Medium,0.38,0.9
100032,Hassan Khan,China,Import/Export Trader,Savings Account,0,25,Medium,0.64,2.11
100033,Liam Rossi,United States,Software Engineer,Personal Loan,0,20,Low,0.48,3.02
100034,Elena Nakamura,Nigeria,Import/Export Trader,Savings Account,0,35,Medium,0.52,0.9
100035,Chloe Dubois,Canada,Nurse,Personal Loan,0,10,Low,0.33,1.2
100036,Chen Okafor,India,Car Dealer,Savings Account,0,35,Medium,0.5,5.38
100037,Kenji Brown,Canada,Money Service Business,Current Account,0,35,Medium,0.33,5.7
100038,Grace Lindqvist,United Kingdom,Civil Servant,Crypto Wallet,0,30,Medium,0.36,1.2
100039,Adebayo Hall,Australia,Nurse,International Wire Transfers,0,20,Low,0.5,1.0
100040,Kenji Nguyen,United Kingdom,Civil Servant,Private Banking,0,20,Low,0.33,0.9
100041,Adebayo Andersson,Australia,Retail Trader,Savings Account,0,20,Low,0.41,4.07
100042,Nadia Reddy,India,Civil Servant,Savings Account,0,25,Medium,0.7,9.51
